00NZQP48,T1GR6XAG5A,2017-05-21,2017-05-23,First Class,7TA3O1,171-0355946-6502712,827.64,9597,2,19%,8769.36
020Q5BFF,8DX8TWKIRN,2016-10-28,2016-11-03,Standard Class,DEEJH5,6d24ef1a-19a5-423d-a3d4-9f7e08456f7a,361.5,8737,3,33%,8375.5
02RP19FG,YKZYVEGAZ5,2017-10-21,2017-10-21,Same Day,AEOHCL,407-1396965-6726703,15658.8,2602,16,33%,-13056.8
0343HOGA,VFKWXRYBB9,2018-12-21,2018-12-25,Standard Class,ERQTI9,408-0666162-2209142,99.45,200,5,32%,100.55
04XH2DLV,EG6P50XU1H,2015-12-26,2015-12-28,First Class,7XN2CU,408-8641795-6914711,3275.28,3998,7,5%,722.72
05WCVK5G,BQ1CIUINUO,2016-12-12,2016-12-16,Standard Class,Z76RCB,406-6070472-3313109,5233.92,9721,4,30%,4487.08
0706BLCF,Y0BAQG1JV4,2018-07-20,2018-07-26,Standard Class,K2Q4Q2,402-5917367-0340362,131.88,4342,6,32%,4210.12
08GSZSUS,NETQPN7KS8,2017-03-05,2017-03-11,Standard Class,PD5NWB,171-2120512-6643534,2240.28,1831,8,11%,-409.28
08UJTP2Z,6PV3DKP7LF,2018-10-17,2018-10-19,Second Class,EYK326,405-2822825-3877133,749.4,4561,8,7%,3811.6
0AEDVLZU,NUYZRB6N14,2017-10-27,2017-11-02,Standard Class,RKTLO1,402-1037282-5400318,603,3845,19,48%,3242
0B6JF8D1,JVGMD11CEK,2018-09-29,2018-10-05,Standard Class,IX1AJI,406-4889947-7806746,419.52,6935,11,6%,6515.48
0C9RLEO1,ZZOU339LKT,2018-12-07,2018-12-10,First Class,1JYHE7,404-0072596-3665116,5615.64,2038,7,8%,-3577.64
0EMLOW8K,LTH43E8I0J,2015-07-22,2015-07-27,Standard Class,NUAXOU,406-9476969-2801163,89.4,9382,19,13%,9292.6
0GYX35VU,7L9WG7S59K,2018-12-01,2018-12-07,Standard Class,CDAUZU,171-1851948-5476361,1258.8,6373,3,40%,5114.2
0H6WHA4Y,NLAXSNRS7D,2018-07-23,2018-07-28,Standard Class,RHJQFH,171-7679971-0310752,196.92,4578,4,3%,4381.08
0H8P4XHD,XXWEEVPRDL,2017-05-30,2017-06-04,Standard Class,HPY5OO,405-4491602-9761902,339.3,7928,8,30%,7588.7
